,YearMonth,Total_Sales
1,1 2014,8018300832
2,2 2014,5323437574
3,3 2014,6547758186
4,4 2014,6478025705
5,5 2014,7526689510
6,6 2014,11964829348
7,7 2014,8127487107
8,8 2014,8274135707
9,9 2014,9687699962
10,10 2014,9219726123
11,11 2014,6420219895
12,12 2014,11492015158
13,1 2015,11489590618
14,2 2015,7899546495
15,3 2015,9341974325
16,4 2015,9545012623
17,5 2015,8642263129
18,6 2015,8069955463
19,7 2015,9123974863
20,8 2015,10733125705
21,9 2015,8606349454
22,10 2015,8588366758
23,11 2015,6410535852
24,12 2015,14614164545
25,1 2016,9853324550
26,2 2016,6876548724
27,3 2016,8843983755
28,4 2016,7374515982
29,5 2016,10718360500
30,6 2016,12385894174
31,7 2016,7287264364
32,8 2016,7834701379
33,9 2016,7825115870
34,10 2016,6133244616
35,11 2016,7048041349
36,12 2016,10404943926
37,1 2017,7938485760
38,2 2017,5512015857
39,3 2017,7502552182
40,4 2017,6037181550
41,5 2017,9987333025
42,6 2017,8488123499
43,7 2017,6893537009
44,8 2017,7957836048
45,9 2017,5778145315
46,10 2017,8453642601
47,11 2017,6287721108
48,12 2017,8260819551
49,1 2018,7962904498
50,2 2018,6058864175
51,3 2018,9496584824
52,4 2018,6661388325
53,5 2018,8749002959
54,6 2018,8780301677
55,7 2018,7283626090
56,8 2018,7468573649
57,9 2018,7499597445
58,10 2018,10998862144
59,11 2018,7393330921
60,12 2018,10656583432
